,id,name,document
0,1010457,PROCEEDS OF SALE OF THE FORMER FREE LIBRARY,"
 



Chorley Council - Chorley Council






















Skip to main content





 This website uses cookies

Our website uses cookies, as almost all websites do, to help provide you with the best experience we can. Cookies are small text files that are placed on your computer or mobile phone when you browse websites.




Accept all

Change cookie preferences


 

 Your cookie preferences were saved
Change cookie preferences
 

 











Toggle menu









Toggle menu







Home 

Events 

My Chorley 

Create an account 

Log in to My Account 





Residents


Business


Council




Close navigation










Home 

Events 

My Chorley 

Create an account 

Log in to My Account 










Link to ""
Chorley Council
"" homepage










Chorley Council




Close



Search..










Search











Pay




Pay




Waste




Waste




Council Tax




Council Tax




Planning




Planning






Garden waste collection service




Pay Council Tax




Pay business rates




Pay an invoice




Pay building control fees




Overpaid benefits








Bin collection days




Missed bin collections




Garden waste collection service




New, lost, stolen or damaged bins




Large item collection




View all waste and recycling information








Pay Council Tax




View Council Tax bill




Moving home




Problems paying Council Tax




Council Tax discounts and exemptions




View all Council Tax information








View or comment on a planning application




Do I need planning permission?




Apply for planning permission




Weekly list of planning applications




Planning Committee




View all planning information












Pay





Waste





Council Tax





Planning








Close



Search










Search






View all our services



Council Tax 2023/24 
Find out how to make a payment, set up a direct debit, view your bill online, about discounts and exemptions, what to do if you are struggling to pay and more useful information about Council Tax.










Residents

Residents

Business

Business

Council

Council




 
					Waste and recycling
				


 
					Council Tax
				


 
					Planning and building control
				


 
					Housing benefits and support
				


 
					Housing
				


 
					Communities
				


 
					Environment
				


 
					Streets
				


 
					Elections and voting
				


 
					Parking
				


 
					Cost of living support
				


 
					Births, deaths and marriages
				


 
				View all Residents sections
			





 
					Business advice and support
				


 
					COVID-19 business support
				


 
					Business rates
				


 
					Choose Chorley for business
				


 
					Strawberry Fields Digital Hub
				


 
					Licensing
				


 
					Food businesses
				


 
					Health and safety
				


 
					Chorley markets
				


 
					Procurement
				


 
					Strawberry Meadows Business Park
				


 
					Economic Strategy 2022
				


 
				View all Business sections
			





 
					About the council
				


 
					Astley Hall
				


 
					Contact us
				


 
					Councillors and committees
				


 
					Digital Chorley 
				


 
					Elections and voting
				


 
					Transparency
				


 
					The Lancastrian
				


 
					The Mayor
				


 
					Working at the council
				


 
					Your MP 
				


 
					Emergency advice
				


 
				View all Council sections
			








Residents



Residents

Residents




					Waste and recycling
				



					Council Tax
				



					Planning and building control
				



					Housing benefits and support
				



					Housing
				



					Communities
				



					Environment
				



					Streets
				



					Elections and voting
				



					Parking
				



					Cost of living support
				



					Births, deaths and marriages
				



				View all Residents sections
			






Business



Business

Business




					Business advice and support
				



					COVID-19 business support
				



					Business rates
				



					Choose Chorley for business
				



					Strawberry Fields Digital Hub
				



					Licensing
				



					Food businesses
				



					Health and safety
				



					Chorley markets
				



					Procurement
				



					Strawberry Meadows Business Park
				



					Economic Strategy 2022
				



				View all Business sections
			






Council



Council

Council




					About the council
				



					Astley Hall
				



					Contact us
				



					Councillors and committees
				



					Digital Chorley 
				



					Elections and voting
				



					Transparency
				



					The Lancastrian
				



					The Mayor
				



					Working at the council
				



					Your MP 
				



					Emergency advice
				



				View all Council sections
			
















Cost of living support 






Cost of Living 
Find different areas of support which may help you with the cost of living.







News 






Exciting businesses on the menu at Chorley's covered Market 
Exciting new food businesses are moving into the 1498 food and beverage area in Chorley's covered market.






Tweets by Chorley Council 





















 


 






Privacy Notice 

GDPR 

Accessibility 

Disclaimer 

Cookies 

Contact us 

Council jobs 

Copyright 




					© 2023 - Chorley Council
				


Powered by GOSS



"
1,1010541,INNOVATE TRUST LTD,
2,1010546,BLACKBURNE HOUSE,"




























































































Blackburne House, Blackburne House, Liverpool, L8 7PE





























top of page35 YEARS INSPIRING WOMENHOMEEDUCATIONCoursesPolicies and PublicationsWELLNESSVENUE HIREBISTROSSE NWNURSERYABOUTMeet The TeamBEE You ProjectLatest NewsSupport Local WomenVacanciesMoreUse tab to navigate through the menu items.Before you visit: Please click here to see our COVID 19 REGULATIONSpress to zoompress to zoompress to zoompress to zoom1/6EDUCATIONMeet new people and learn new skills in a beautiful environment. We have new courses all year round.  
 
For more info call 0151 709 4356 or email
courses@blackburnehouse.co.uk 
​
Start your education journey with us.Learn MoreBISTROThe Bistro at Blackburne House is nestled amidst some of Liverpool’s finest restaurants and bars on the corner of Hope Street and Falkner Street. You’ll find us in the basement of our beautiful Grade II listed building.Learn MoreWELLNESSOur wellness services support women across Merseyside to access counselling and mindfulness sessions. This is a women-only funded service. 
​
Please contact our wellness team for further info: wellness@blackburnehouse.co.uk
​Learn MoreSSE NWThe School for Social Entrepreneurs (SSE) North West, part of the Blackburne House Group, supports individuals to set up new charities, social enterprises and social businesses across the North West.Learn MoreVENUE HIREOur Grade II-listed building in the heart of the Georgian Quarter is the ideal venue for work and play. We offer top-quality conferencing facilities for businesses and organisations alike, plus beautifully dressed rooms for private events, functions, and parties.  Learn MoreNURSERYA culturally diverse, stimulating and enriching environment, our on-site public nursery cares for babies and young children. Subsidised childcare is available for Blackburne House students, empowering mums to return to education and free places are offered to the most disadvantaged families. Learn MoreLATEST NEWSMar 8Blackburne House appoint a new CEOThe Blackburne House Board are pleased to announce the appointment of Andrea Rushton as the new CEO of Blackburne House. Andrea has...189 viewsPost not marked as likedJan 23Prioritising Education at Blackburne HouseInternational Day of Education is an annual international observance day held on January 24th. The theme for 2023 is “to invest in...58 viewsPost not marked as likedJan 13How To Plan the Perfect Wedding at Blackburne HouseThe wedding season is upon us, and here at Blackburne House we’re excited to celebrate with couples tying the knot in 2023. Here are our...179 views1 like. Post not marked as liked1Blackburne House Group
Blackburne Place
Liverpool
L8 7PE
​
​
Registered Charity Numbers:
Blackburne House 1010546
Women's Technology & Education Centre 514972Services
Education
Wellness
Venue Hire
Bistro
Nursery
School For Social Entrepreneurs
Newsletter
​Contact Us
Email: reception@blackburnehouse.co.uk
Call: 0151 709 4356Legal Information
Privacy Notice
COVID 19 Regulations








bottom of page










"
3,1010563,JESMOND COMMUNITY LEISURE,"










Jesmond Pool & Gym - Jesmond Community Leisure


































 























MAKE A BOOKING

FollowFollowFollow








HOME
POOL TIMETABLE
CLASSES TIMETABLE
SWIMMING LESSONS
PRICES
MASSAGE
SPLASH NEWSLETTER
JESMOND MERMAIDS












 












































Jesmond Pool & Gym
View the pool timetable 
Gym and Classes timetable.
 

At Jesmond Aqua School we offer a competitive programme of swimming lessons for children from 4 months old to adults.
Our programme follows the ASA learn to swim framework. All our instructors are ASA qualified under British Swimming and CRB checked so you can rest assured that your child is in capable professional hands.
FIND OUT MORE











JESMOND POOL AND GYM
Welcome to Jesmond Pool and Gym, an award winning social enterprise operating as a charity since our reopening in 1992. We are dedicated to working to promote health and fitness in the community across all ages from children and students through to older adults and work with local GPs to facilitate access to our activities and classes.
In our 22m pool we offer lane and family swimming sessions, aqua fit classes, Masters sessions, pool parties, mermaid experiences and chill out sessions. Jesmond Aqua School offers private and group swimming lessons for children and adults. We deliver RLSS accredited lifeguard courses on a regular basis.
In addition to the pool, we have 2 gyms ‘The Basement Gym’ and ‘The Poolside Gym’. The Basement gym houses a variety of different equipment from a range of cardiovascular equipment and weight stack machines to free weight bars and dumbbells.
The Poolside Gym was refurbished in 2019 with all new hi-tech equipment including cardiovascular equipment , weight stack machines and even a sledge. Our in house personal trainer can provide guided sessions in the gyms and our expert in exercise for older adults runs dedicated sessions for the over 50s.















In our upstairs activity room, we run a range of different exercise classes delivered by expert teachers many of which moved online during lockdown. From children’s dance classes to Tai Chi we hope to cater for all tastes. In addition the Jesmond Joggers run out of the pool providing a collegiate group for keen runners around the community. The activity room also hosts a variety of other activities including childrens’ parties
Jala Therapies, hosted in the pool building, provides a range of massage and relaxation treatments.
Follow us on Facebook for regular updates and sign up to our newsletter for information direct to your inbox.



























WHAT OUR MEMBERS SAY






“Re the pool generally – the current system for adult swimming is excellent and the staff have really been on top of it since the very start – I have been telling everyone I know how good it is.
I also know that some of my fellow swimmers are coming from Durham/Middlesborough/Heydon Bridge because their council (or other) run pools are not open. Like Jesmond Library, Jesmond Pool & Gym is very much at the leading edge – we are lucky to have it!”
Jesmond Pool






We love your pool!!! The staff are awesome too!
Terry and Skyla
Swinmming














HOW TO FIND JESMOND POOL AND GYM












Address
Jesmond Pool, St. George's Terrace, Jesmond,
Newcastle upon Tyne, NE2 2DL






Email
info@jesmondpool.online






Email
+44 (0) 191 281 2482









Jesmond Pool

An award winning social enterprise, operating as a charity since re-opening in 1992, we not only offer a full range of water activities, but also 2 gyms, a multi purpose dance and activity room, massage and therapy room and a poolside sauna and steam.
Jesmond Community Leisure is a company limited by guarantee. Registered in England and Wales with the registered NO 2645699.
It is also a registered charity, no 1010563
 




Contact Information
Jesmond Pool, St. George's Terrace, Jesmond,Newcastle upon Tyne, NE2 2DL
+44 (0) 191 281 2482
Mon - Fri: 7am - 10pm
Sat: 8am - 7pm
Sun: 8am - 7pm





Information


Jesmond Community Leisure Documents
Membership Terms and Conditions
Cookie Policy
Privacy Policy
Jesmond Aqua School
Jesmond Joggers
Jala Therapies
Admission Policy




 











Facebook




Twitter




Instagram


© 2022 Jesmond Pool and Gym | Wordpress Website Design Big Purple Box 

























"
4,1010576,ST DAVID'S FOUNDATION HOSPICE CARE,"



St. David's Hospice Care










































  Home   About Us  Our people How we are Funded Our Hospice Facilities    Our Services  For Patients & Families In-Patient Care Care at Home Day Hospice Bereavement Care Therapy Services Spiritual Care Family Support Team Social Work & Benefits Advice Support for Children Education For Professionals    How to Help Us  A Gift in Your Will Make a Donation Play our Lottery Easy Ways to Donate Volunteer Fundraise Donate and Use Our Shops Businesses, Workplaces & Schools Collection Tins & Loose Change Boxes In Memory Donations Gift Aid Online Declaration Form Friends of St David's Hospice Care Event Volunteer Form    Events  Our Events Community Events    Shop  Online Shop Our Charity Shops Our Depot Large Item Donations    News   Contact Us  Vacancies    Donate   Lottery  











 Care for When You Need It 
We've been providing our free care for over four decades, from the comfort of our patients homes, to our purpose built in-patient hospice. We believe everyone suffering life-limiting illnesses should have access to high quality and compassionate palliative and end of life care, where and whenever they need it.
Find out more






 Support our Shops 
Our network of over 38 charity shops across South East Wales has something for everyone. Help sustainability and support our hospice.
Find your local shop






 Join our Lottery! 
Play by Direct Debit
Feeling lucky? Join our lottery, and win big prizes from £50-£1000 whilst helping the patients we care for. Our prizes are drawn weekly, every Friday.
Join here






 Plan your Summer of Fun with Us 
From our annual Kolor Dash to cycles through nature and Welsh mountain treks, we have loads of great events on offer to make your summer special. 
View our events






 Join our Big Welsh Brew 
Celebrate St David's Day
Our Big Welsh Brew campaign is the perfect excuse to host a get together with friends, family or colleagues. The campaign runs every St David's Day (1st March) and can be a coffee morning, tea party, tea at 3,  gin & tonic at 3, wine at 9, a party or even a quiz. You decide!
Find out more












Quality of life to the end of life, for our community




St David’s Hospice Care is a charitable organisation providing comprehensive, palliative care to patients, their families and carers facing life-limiting illnesses.
We provide a large range of expert services offering care and support and specialise in pain relief and symptom control to help people live and have the best quality of life possible. Our services are delivered from the comfort of our patient's homes or our purpose built in-patient hospice. We believe everyone should have access to high quality and compassionate palliative and end of life care, where and whenever they need it. These services are free of charge.
From our first year of operation, when we cared for six patients, St. David’s has grown to become one of the UK’s largest provider of hospice at home care, caring for over 3,200 patients and families every year, serving communities in South East Wales (Newport, Caerphilly, Torfaen, Monmouthshire, as well as Mid and South Powys.)  
Find out more


Patient-Centred Care








 Our Hospice Facilities 





 Join Now! 





 Fundraising Events 






Make a Donation
Every year, we provide palliative and end of life care to thousands of patients and their families, our care is all free of charges, we are not part of the NHS. We are only able to provide this care because of people like you. So please help us if you can, we appreciate all donations, however much you are able to give. Find out how your donations help us to continue our vital care.


Make a single donation
Become a regular giver
Pay in fundraising donations



Choose from one of our pre-selected amounts

£10Pays for a patient to have lunch & afternoon tea at our day hospice


£20Pays for one patient to receive a complementary therapy session


£50Pays towards the £200 cost for a Hospice at Home nurse to stay with a patient overnight



Or choose your own amount:  





Choose from one of our pre-selected amounts

£10Pays for lunch and dinner in our in-patient hospice


£20Pays for a fleece for our nurses when they provide Hospice at Home


£50Pays for a child bereavement session



Or choose your own amount:  





Please enter the amount raised:  








 The staff could not have been more respectful, caring and helpful when my husband died. The hospice is such a beautiful, peaceful place. Being there helped ease the trauma and uncertainty that my husband and the whole family were facing. 
 Mrs D Williams, a relative 








 View Our Shops 





 Become a Friend 









Give back, feel good.
Our volunteers play a major role in helping us to successfully organise and host events across Gwent. We really couldn’t do it without them.
Could you become one of our community of volunteers?
Volunteer




Upcoming Events





 The Big Welsh Brew 
 Wednesday 1st March – Monday 1st May 2023 
Location: Anywhere 

Tickets & More Info






 Kolor Dash Newport 
 Saturday 29th April 2023 
Location: Tredegar Park, Newport, NP20 3AJ 

Tickets & More Info






 South Wales Car Festival 
 Sunday 7th May 2023 
Location: Chepstow Racecourse 

Tickets & More Info




View all events




Join our mailing list






By submitting this form, you agree to the use of your personal information as set out in our Privacy Policy.





Thank you for subscribing
You will be sent an e-mail to confirm that you wanted to sign up

Sorry, an error has occurred
  







Contact Us
St David’s  Hospice CareBlackett AvenueNewportNP20 6NH
Tel: 01633 851051

Important information

 Website Terms of Use 
 Privacy Policy 
 Cookies Policy 
 Terms of Sale 
 Delivery Policy 
 Returns Policy 




© St David’s Foundation Hospice Care, Registered Charity Number: 1010576. Registered in Wales Number: 2700097. Registered Office: Blackett Avenue, Newport, NP20 6NH. Company Limited by Guarantee.
Website by Parade Design




 Donate 
 Lottery 



Just so you know, this site uses cookies.     







"
5,1010595,LEVENS CHOIR,"



Levens Choir 














































					Join our Mailing List:
					

























		An RSS feed (or news feed) is a means by which you can stay informed about what's going on at Levens Choir without having to regularly visit the website.

		To make use of an RSS feed, you need some ""feed reader"" (or ""aggregator"") software.  Most modern web browsers have feed readers built in.

		   The RSS feeds for Levens Choir are listed below...Levens Choir upcoming events:https://www.levenschoir.net/dbaction.php?action=rss&dbase=eventsLevens Choir news:https://www.levenschoir.net/dbaction.php?action=rss&dbase=uploads






































Home

About



About Levens Choir
History
Music Director
Have a listen...
Choral Scholars
Past Performances
Officers
Documents




News & Events



Latest News
Upcoming Events
Event Calendar
Music in Quiet Places
Newsletter




Other



Links
Testimonials
Supporters




Contact



Contact Points
Book Us!
Become a Member
Sponsorship




Members





Home

About

About Levens Choir
History
Music Director
Have a listen...
Choral Scholars
Past Performances
Officers
Documents


News & Events

Latest News
Upcoming Events
Event Calendar
Music in Quiet Places
Newsletter


Other

Links
Testimonials
Supporters


Contact

Contact Points
Book Us!
Become a Member
Sponsorship


Members























""Glories of Venice"" with English Cornett & Sackbut Ensemble, Lancaster Priory, 9 April 2022






Levens Choir sings in Durham Cathedral, October 2019 - a thrill for performers and audience alike. Image © Martin Grace







End of the ""1922"" concert in Kendal, 2 July 2022






































Who is Levens Choir?



										 
									



Levens Choir is based in South Cumbria, and has become known for high performance standards and an innovative, wide-ranging repertoire.
											 





Levens Choir is a registered charity  - number 1010595

Read more
















  











Past performances

												 
											





What critics said about recent Levens Choir performances






Read reviews















Upcoming Events



										 
									


 
											


Summer concert ""Britten and Byrd, two Elizabethans""Sat, 8 Jul 2023Programme to include works by Byrd and Britten more







More events













							 
						








  




Join

											 
										
Want to sing with us? Uncomfortable with auditions?



Apply now




























Quick Links


Latest News
About Levens Choir
Music in Quiet Places
Choral Scholars
Supporters
Testimonials
Sponsorship
Newsletter
Members
Documents








Latest News


Article in Westmorland Gazette about our concertsThu, 16 Mar 2023 moreNEW MUSIC DIRECTOR FOR LEVENS CHOIRMon, 28 Feb 2022 Photo: Gary Lashmar Gawain Glenton has been appointed as Levens Choir's new Music Director. Although he is mainly known for his early music specialism, Gawain has a rich background ... moreMore news...







Contact Us










Rehearsals
Tuesdays 7.20pm, Endmoor Village Hall map












Phone
Terry: 07870204958
Tim: 015394 47939
			Safeguarding Officer:













Email
contact_filter_unwanted@levenschoir.net
safeguarding_filter_unwanted@levenschoir.net















Social
















		An RSS feed (or news feed) is a means by which you can stay informed about what's going on at Levens Choir without having to regularly visit the website.

		To make use of an RSS feed, you need some ""feed reader"" (or ""aggregator"") software.  Most modern web browsers have feed readers built in.

		   The RSS feeds for Levens Choir are listed below...Levens Choir upcoming events:https://www.levenschoir.net/dbaction.php?action=rss&dbase=eventsLevens Choir news:https://www.levenschoir.net/dbaction.php?action=rss&dbase=uploads


















					Brought to you by Making Music
				

					Copyright © 2023 Levens Choir
				

Powered by HarmonySite  
				







Making Music Data Protection Policy


Levens Choir Privacy Policy










"
6,1010632,BRISTOL AERO COLLECTION TRUST,"






Aerospace Bristol | Supersonic Family Fun















































































































Visit


What's On


Learning


Venue Hire


Support


Explore


About


            Contact
          



        Tickets
      

        Donate
      

        Shop
      





Back


              Book Tickets
            

            Ticket Prices
          

            Opening hours
          

              Return Visits
            

              Groups
            

            Gift Tickets
          

            How to find us
          

            Things to see & do
          

              Enhance your visit
            

            Accessibility
          

            Café
          

            FAQ
          



Back


              What's On
            

            Upcoming Events
          

            Red Arrows Easter
          

            Journey To Mars
          



Back


            New Page
          

            At Home with Aerospace Bristol
          

            Youth groups
          

            School Visits
          

            Home Educators
          



Back


            First Class Spaces
          

            Christmas parties
          

            Shared Christmas parties
          

            Dinners and receptions
          

            Meetings & Conference Spaces
          



Back


              Donate
            

            Engineering Futures Appeal
          

            Volunteer
          



Back


              Aerospace Lives
            

              Concorde Memories
            

            Archives & Collections
          

            Restoration projects
          

            The Last Concorde
          

            History makers
          

            Bristol Built
          

            Black History Month
          

            World Space Week
          

            Reminiscence
          



Back


            Our vision
          

            News
          

            Careers
          

            Trustees
          

            Royal Patron
          

            Vice Patrons
          

            Ambassadors
          

            Members
          

            Press & Media
          

            Awards
          

































































































Visit

Book Tickets
Ticket Prices
Opening hours
Return Visits
Groups
Gift Tickets
How to find us
Things to see & do
Enhance your visit
Accessibility
Café
FAQ


What's On

What's On
Upcoming Events
Red Arrows Easter
Journey To Mars


Learning

New Page
At Home with Aerospace Bristol
Youth groups
School Visits
Home Educators


Venue Hire

First Class Spaces
Christmas parties
Shared Christmas parties
Dinners and receptions
Meetings & Conference Spaces


Support

Donate
Engineering Futures Appeal
Volunteer


Explore

Aerospace Lives
Concorde Memories
Archives & Collections
Restoration projects
The Last Concorde
History makers
Bristol Built
Black History Month
World Space Week
Reminiscence


About

Our vision
News
Careers
Trustees
Royal Patron
Vice Patrons
Ambassadors
Members
Press & Media
Awards

Contact







Supersonic Family Fun




TicketsDonateShop









Scroll







 





































































Visit Aerospace BristolBook online or buy tickets upon arrival and enjoy FREE return visits for a whole year! (Return visits do not need to be booked in advance)



    Book tickets
  














Group VisitsEnjoy discounted entry, free coach parking, free entry for the group leader and more, when you book a group visit. 



    BRING A GROUP
  














School VisitsWinner of Best Museum Visit at the School Travel Awards, find out more about our inspiring learning programme.



    PLAN YOUR VISIT
  

 











 
First Class Event Spaces



    PLAN YOUR EVENT
  














Conference and Day Events



    Enquire now
  














Dinners and Receptions



    Enquire Now
  

 
What’s On at Aerospace Bristol?Browse upcoming events to enjoy at Aerospace Bristol.



    See What’s On
  


















































Discover Aerospace Bristol

















































Latest News



    What’s happening at Aerospace Bristol?
  






Featured





















Apr 6, 2023





The Joystick Club Pedal Planes at Aerospace Bristol 



Apr 6, 2023







Apr 6, 2023




















Mar 29, 2023





The Bristol Freighter moves across the Conservation Workshop



Mar 29, 2023







Mar 29, 2023




















Mar 16, 2023





Aerospace Bristol announces Journey to Mars exhibition featuring Mars by Luke Jerram



Mar 16, 2023







Mar 16, 2023































































Embed Block

        Add an embed URL or code.
        
          Learn more



 






New Page



New Homepage with new template












Hayes Way,
Patchway, BS34 5BZ
info@aerospacebristol.org


Hours
























































ContactFAQAccessibilityPrivacy


 


























Registered Charity number 1010632 










"
7,1010656,STAPLES TRUST,
8,1010660,CYMDEITHAS DREFTADAETH Y BALA A PHENLLYN,
9,1010678,THE SAINT ALDHELM LODGE NO 2888 BENEVOLENT FUND,
